anio,region_label,region_slug,q1,q2,q3,q4,vivienda_m2_eur_corriente,deflactor_hasta_1986,vivienda_m2_eur_a_1986,anio_base,vivienda_m2_pct_desde_base,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995
1998,Castilla y León,castilla_y_leon,657.4,677.1,686.9,694.3,678.925,0.57,386.98724999999996,1995,-1.1289428368497112,7939.61,10.83732357991427
1999,Castilla y León,castilla_y_leon,696.7,725.0,736.1,745.9,725.925,0.56,406.51800000000003,1995,3.8609525658779065,8275.28,15.523292337330563
2000,Castilla y León,castilla_y_leon,766.8,785.2,813.5,820.8,796.575,0.54,430.1505000000001,1995,9.898800733764968,8674.65,21.098516047073268
2001,Castilla y León,castilla_y_leon,844.2,865.1,877.4,887.2,868.475,0.52,451.607,1995,15.3807044347813,9000.89,25.652841567433992
2002,Castilla y León,castilla_y_leon,900.7,926.5,959.7,962.2,937.2750000000001,0.51,478.01025000000004,1995,22.126449262402748,9300.17,29.83080423827007
2003,Castilla y León,castilla_y_leon,970.8,1001.5,1040.8,1053.1,1016.55,0.49,498.10949999999997,1995,27.261590266884017,9472.84,32.24128544106766
2004,Castilla y León,castilla_y_leon,1067.8,1150.2,1162.4,1228.8,1152.3,0.48,553.1039999999999,1995,41.31209025921934,9688.88,35.25721385394998
2005,Castilla y León,castilla_y_leon,1228.8,1291.5,1297.6,1321.0,1284.725,0.46,590.9735,1995,50.98733795598434,9935.24,38.69641087208409
2006,Castilla y León,castilla_y_leon,1373.8,1416.8,1424.2,1451.2,1416.5,0.45,637.4250000000001,1995,62.8551938396448,10225.53,42.748872726257446
2007,Castilla y León,castilla_y_leon,1480.7,1502.8,1505.3,1517.6,1501.6,0.44,660.704,1995,68.80272658058387,10482.09,46.33046221713455
2008,Castilla y León,castilla_y_leon,1522.5,1509.0,1489.3,1459.8,1495.15,0.42,627.963,1995,60.43775516982368,10201.68,42.41592562087306
2009,Castilla y León,castilla_y_leon,1416.8,1399.8,1382.9,1388.6,1397.025,0.42,586.7505,1995,49.90840712712632,9755.29,36.18430053187778
2010,Castilla y León,castilla_y_leon,1395.9,1392.3,1369.0,1380.0,1384.3,0.41,567.563,1995,45.006208387198974,9544.72,33.24473357251545
2011,Castilla y León,castilla_y_leon,1331.4,1312.1,1285.6,1292.0,1305.275,0.4,522.11,1995,33.39345845490362,9153.42,27.78216743679589
2012,Castilla y León,castilla_y_leon,1233.2,1229.7,1206.6,1202.6,1218.025,0.39,475.02975000000004,1995,21.364963746084655,8623.37,20.38264487038097
2013,Castilla y León,castilla_y_leon,1160.7,1128.2,1101.1,1086.4,1119.1,0.38,425.258,1995,8.64881989545383,8445.8,17.903759440481327
2014,Castilla y León,castilla_y_leon,1083.5,1060.7,1058.1,1046.1,1062.1,0.39,414.219,1995,5.828474780662551,8607.94,20.167241355241305
2015,Castilla y León,castilla_y_leon,1043.2,1050.7,1063.1,1073.2,1057.55,0.39,412.4445,1995,5.375109221626673,9064.5,26.54084011558917
2016,Castilla y León,castilla_y_leon,1063.6,1062.9,1048.4,1056.8,1057.925,0.39,412.59075,1995,5.412474514953791,9390.19,31.087487610458876
2017,Castilla y León,castilla_y_leon,1052.2,1044.8,1042.8,1046.6,1046.6,0.38,397.70799999999997,1995,1.6100928447698948,9577.78,33.706252704758974
2018,Castilla y León,castilla_y_leon,1045.4,1036.1,1037.1,1045.8,1041.1,0.37,385.20699999999994,1995,-1.5837774587001752,9725.29,35.76549914145717
2019,Castilla y León,castilla_y_leon,1049.6,1034.0,1037.5,1039.2,1040.075,0.37,384.82775000000004,1995,-1.6806717321655507,9932.49,38.65802074462887
2020,Castilla y León,castilla_y_leon,1036.7,1024.6,1024.8,1023.1,1027.3,0.37,380.101,1995,-2.888305238039257,8907.37,24.347298033029485
2021,Castilla y León,castilla_y_leon,1015.4,1011.8,1030.2,1034.0,1022.85,0.36,368.226,1995,-5.922239311609923,9424.47,31.566037999246156
